-- PANTS

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (1, 89.90, 'Black', 'ASOS', 'Men', '~/Images/ManPants1.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (2, 179.90, 'Blue', 'Renuar', 'Men', '~/Images/ManPants2.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (3, 179.90, 'Black', 'Renuar', 'Men', '~/Images/ManPants3.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (20, 189.90, 'Black', 'Castro', 'Men', '~/Images/ManPants4.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (21, 123.90, 'Blue', 'Castro', 'Men', '~/Images/ManPants5.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (22, 155.90, 'Green', 'Castro', 'Men', '~/Images/ManPants6.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (23, 150.90, 'Blue', 'Castro', 'Men', '~/Images/ManPants7.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (24, 133.90, 'Black', 'Bershka', 'Men', '~/Images/ManPants8.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (25, 144.90, 'Black', 'Bershka', 'Men', '~/Images/ManPants9.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (26, 89.90, 'Blue', 'Bershka', 'Men', '~/Images/ManPants10.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (27, 179.90, 'Blue', 'Bershka', 'Men', '~/Images/ManPants11.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (28, 179.90, 'Blue', 'Bershka', 'Men', '~/Images/ManPants12.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (4, 89.90, 'Black', 'Adidas', 'Women', '~/Images/WomanPants2.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (5, 149.90, 'Blue',  'Bershka', 'Women', '~/Images/WomanPants1.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (6, 129.90, 'Blue', 'Bershka', 'Women', '~/Images/WomanPants3.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (29, 99.90, 'Blue', 'Adidas', 'Women', '~/Images/WomanPants4.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (30, 125.90, 'Black',  'Bershka', 'Women', '~/Images/WomanPants5.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (31, 125.90, 'Blue', 'Bershka', 'Women', '~/Images/WomanPants6.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (32, 170.90, 'Gray', 'Castro', 'Women', '~/Images/WomanPants7.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (33, 160.90, 'Purple',  'Castro', 'Women', '~/Images/WomanPants8.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (34, 130.90, 'Black', 'Castro', 'Women', '~/Images/WomanPants9.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (35, 80.90, 'Black', 'Zara', 'Women', '~/Images/WomanPants10.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (36, 130.90, 'Blue',  'Zara', 'Women', '~/Images/WomanPants11.JPG', 1);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (37, 129.90, 'Blue', 'Zara', 'Women', '~/Images/WomanPants12.JPG', 1);


-- SHIRTS

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (7, 119.90, 'White',  'Levi''s', 'Men', '~/Images/ManShirt1.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (8, 89.90, 'Black', 'Asos', 'Men', '~/Images/ManShirt2.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (9, 69.90, 'Green',  'Renuar', 'Men', '~/Images/ManShirt3.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (38, 119.90, 'Green',  'Levi''s', 'Men', '~/Images/ManShirt4.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (39, 89.90, 'Black', 'Asos', 'Men', '~/Images/ManShirt5.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (40, 69.90, 'Black',  'Castro', 'Men', '~/Images/ManShirt6.JPG', 3);

INSERT INTO [dbo].[Items] ([ItemID], [Price], [Color], [Brand], [Gender], [ImgPath], [ItemTypeId])
VALUES (41, 119.90, 'Pink',  'Levi''s', 'Men', '~/Images/ManShirt7.JPG', 3);

